best_lb.0,time
311467.0,36.3
311582.0,36.4
311698.0,36.5
311799.0,36.6
311695.0,36.7
311579.0,36.8
311509.0,36.9
311394.0,37
311282.0,37.1
311173.0,37.2
311066.0,37.3
310960.0,37.4
310855.0,37.5
310755.0,37.6
310660.0,37.7
310565.0,37.8
310472.0,37.9
310383.0,38
310301.0,38.1
310220.0,38.2
310150.0,38.3
310080.0,38.4
310011.0,38.5
309942.0,38.6
309875.0,38.7
309808.0,38.8
309747.0,38.9
309687.0,39
309634.0,39.1
309581.0,39.2
309529.0,39.3
309479.0,39.4
309429.0,39.5
309383.0,39.6
309337.0,39.7
309294.0,39.8
309294.0,39.9
309253.0,40
309253.0,40.1
309293.0,40.2
309334.0,40.3
309377.0,40.4
309423.0,40.5
309469.0,40.6
309519.0,40.7
309569.0,40.8
309621.0,40.9
309674.0,41
309727.0,41.1
309787.0,41.2
309848.0,41.3
309911.0,41.4
309978.0,41.5
310045.0,41.6
310114.0,41.7
310183.0,41.8
310253.0,41.9
310323.0,42
310404.0,42.1
310486.0,42.2
310575.0,42.3
310668.0,42.4
310763.0,42.5
310858.0,42.6
310912.0,42.7
310817.0,42.8
310722.0,42.9
310629.0,43
310540.0,43.1
310458.0,43.2
310377.0,43.3
310307.0,43.4
310237.0,43.5
310168.0,43.6
310099.0,43.7
310032.0,43.8
309965.0,43.9
309902.0,44
309841.0,44.1
309781.0,44.2
309727.0,44.3
309674.0,44.4
309621.0,44.5
309569.0,44.6
309519.0,44.7
309473.0,44.8
309427.0,44.9
309384.0,45
309343.0,45.1
309303.0,45.2
309303.0,45.3
309329.0,45.4
309369.0,45.5
309410.0,45.6
309453.0,45.7
309499.0,45.8
309545.0,45.9
309595.0,46
309647.0,46.1
309700.0,46.2
309753.0,46.3
309807.0,46.4
309867.0,46.5
309928.0,46.6
309984.0,46.7
309938.0,46.8
309876.0,46.9
309815.0,47
309755.0,47.1
309701.0,47.2
309648.0,47.3
309595.0,47.4
309543.0,47.5
309493.0,47.6
309447.0,47.7
309404.0,47.8
309363.0,47.9
309323.0,48
309323.0,48.1
309359.0,48.2
309399.0,48.3
309719.0,48.4
309760.0,48.5
309801.0,48.6
309844.0,48.7
309890.0,48.8
310012.0,48.9
310047.0,49
310001.0,49.1
309958.0,49.2
309912.0,49.3
309872.0,49.4
309836.0,49.5
309836.0,49.6
309857.0,49.7
309893.0,49.8
309943.0,49.9
309995.0,50
310048.0,50.1
310245.0,50.2
310298.0,50.3
310352.0,50.4
310412.0,50.5
310473.0,50.6
310536.0,50.7
310603.0,50.8
310670.0,50.9
310739.0,51
310808.0,51.1
310878.0,51.2
310948.0,51.3
311029.0,51.4
311111.0,51.5
311193.0,51.6
311282.0,51.7
311375.0,51.8
311470.0,51.9
311634.0,52
311783.0,52.1
311820.0,52.2
311759.0,52.3
311664.0,52.4
311571.0,52.5
311482.0,52.6
311400.0,52.7
311318.0,52.8
311237.0,52.9
311201.0,53
311131.0,53.1
311061.0,53.2
310992.0,53.3
310923.0,53.4
310856.0,53.5
310789.0,53.6
310726.0,53.7
310666.0,53.8
310612.0,53.9
310559.0,54
310507.0,54.1
310457.0,54.2
310420.0,54.3
310399.0,54.4
310399.0,54.5
310399.0,54.6
310406.0,54.7
310435.0,54.8
310472.0,54.9
310522.0,55
310574.0,55.1
310627.0,55.2
310681.0,55.3
310741.0,55.4
310804.0,55.5
310871.0,55.6
310938.0,55.7
311006.0,55.8
311075.0,55.9
311144.0,56
311214.0,56.1
311296.0,56.2
311380.0,56.3
311469.0,56.4
311562.0,56.5
311657.0,56.6
311757.0,56.7
311862.0,56.8
311968.0,56.9
312100.0,57
312161.0,57.1
312055.0,57.2
311950.0,57.3
311850.0,57.4
311755.0,57.5
311662.0,57.6
311573.0,57.7
311491.0,57.8
311421.0,57.9
311352.0,58
311283.0,58.1
311215.0,58.2
311148.0,58.3
311081.0,58.4
311018.0,58.5
310957.0,58.6
310897.0,58.7
310838.0,58.8
310784.0,58.9
310731.0,59
310679.0,59.1
310629.0,59.2
310588.0,59.3
310551.0,59.4
310519.0,59.5
310490.0,59.6
310483.0,59.7
310483.0,59.8
310501.0,59.9
310521.0,60
310550.0,60.1
310582.0,60.2
310619.0,60.3
310693.0,60.4
310765.0,60.5
310807.0,60.6
310857.0,60.7
310909.0,60.8
310962.0,60.9
311016.0,61
311076.0,61.1
311137.0,61.2
311200.0,61.3
311267.0,61.4
311334.0,61.5
311402.0,61.6
311471.0,61.7
311541.0,61.8
311630.0,61.9
311723.0,62
311818.0,62.1
311918.0,62.2
312023.0,62.3
312129.0,62.4
312238.0,62.5
312347.0,62.6
312459.0,62.7
312573.0,62.8
312688.0,62.9
312807.0,63
312931.0,63.1
313058.0,63.2
313185.0,63.3
313312.0,63.4
313440.0,63.5
313569.0,63.6
313698.0,63.7
313827.0,63.8
313960.0,63.9
314093.0,64
314227.0,64.1
314363.0,64.2
314503.0,64.3
314646.0,64.4
314791.0,64.5
314950.0,64.6
315109.0,64.7
315268.0,64.8
315431.0,64.9
315599.0,65
315768.0,65.1
315937.0,65.2
316108.0,65.3
316282.0,65.4
316461.0,65.5
316641.0,65.6
316824.0,65.7
317008.0,65.8
317192.0,65.9
317392.0,66
317597.0,66.1
317806.0,66.2
318016.0,66.3
318226.0,66.4
318439.0,66.5
318654.0,66.6
318871.0,66.7
319092.0,66.8
319317.0,66.9
319543.0,67
319769.0,67.1
319997.0,67.2
320227.0,67.3
320458.0,67.4
320693.0,67.5
320931.0,67.6
321171.0,67.7
321414.0,67.8
321665.0,67.9
321917.0,68
322170.0,68.1
322425.0,68.2
322681.0,68.3
322938.0,68.4
323197.0,68.5
323461.0,68.6
323730.0,68.7
324003.0,68.8
324278.0,68.9
324553.0,69
324835.0,69.1
325118.0,69.2
325404.0,69.3
325692.0,69.4
325980.0,69.5
326268.0,69.6
326560.0,69.7
326853.0,69.8
327147.0,69.9
327453.0,70
327762.0,70.1
328080.0,70.2
328264.0,70.3
328084.0,70.4
327766.0,70.5
327523.0,70.6
327339.0,70.7
327312.0,70.8
327252.0,70.9
327223.0,71
327203.0,71.1
326982.0,71.2
326673.0,71.3
326367.0,71.4
326073.0,71.5
325780.0,71.6
325488.0,71.7
325257.0,71.8
325204.0,71.9
325162.0,72
324874.0,72.1
324820.0,72.2
324652.0,72.3
324543.0,72.4
324255.0,72.5
323967.0,72.6
323681.0,72.7
323398.0,72.8
323116.0,72.9
322841.0,73
322566.0,73.1
322293.0,73.2
322024.0,73.3
321760.0,73.4
321501.0,73.5
321244.0,73.6
321120.0,73.7
320865.0,73.8
320612.0,73.9
320360.0,74
320109.0,74.1
319869.0,74.2
319631.0,74.3
319396.0,74.4
319166.0,74.5
318938.0,74.6
318712.0,74.7
318486.0,74.8
318261.0,74.9
318044.0,75
317827.0,75.1
317612.0,75.2
317399.0,75.3
317189.0,75.4
316979.0,75.5
316770.0,75.6
316565.0,75.7
316362.0,75.8
316162.0,75.9
315965.0,76
315776.0,76.1
315592.0,76.2
315408.0,76.3
315225.0,76.4
315046.0,76.5
314872.0,76.6
314701.0,76.7
314532.0,76.8
314363.0,76.9
314199.0,77
314036.0,77.1
313877.0,77.2
313718.0,77.3
313559.0,77.4
313414.0,77.5
313271.0,77.6
313131.0,77.7
312995.0,77.8
312861.0,77.9
312728.0,78
312599.0,78.1
312470.0,78.2
312341.0,78.3
312213.0,78.4
312086.0,78.5
311959.0,78.6
311832.0,78.7
311705.0,78.8
311586.0,78.9
311471.0,79
311357.0,79.1
311245.0,79.2
311136.0,79.3
311030.0,79.4
310924.0,79.5
310819.0,79.6
310719.0,79.7
310624.0,79.8
310531.0,79.9
310442.0,80
310370.0,80.1
310296.0,80.2
310226.0,80.3
310157.0,80.4
310090.0,80.5
310023.0,80.6
309960.0,80.7
309899.0,80.8
309846.0,80.9
309794.0,81
309744.0,81.1
309712.0,81.2
309686.0,81.3
309686.0,81.4
309711.0,81.5
309943.0,81.6
309918.0,81.7
309918.0,81.8
310086.0,81.9
310176.0,82
310304.0,82.1
310311.0,82.2
310336.0,82.3
310368.0,82.4
310418.0,82.5
310470.0,82.6
310523.0,82.7
310584.0,82.8
310647.0,82.9
310714.0,83
310781.0,83.1
310850.0,83.2
310920.0,83.3
310994.0,83.4
311066.0,83.5
311154.0,83.6
311243.0,83.7
311336.0,83.8
311431.0,83.9
311526.0,84
311626.0,84.1
311732.0,84.2
311838.0,84.3
311947.0,84.4
312058.0,84.5
312170.0,84.6
312284.0,84.7
312399.0,84.8
312518.0,84.9
312641.0,85
312768.0,85.1
312895.0,85.2
313022.0,85.3
313149.0,85.4
313277.0,85.5
313406.0,85.6
313535.0,85.7
313664.0,85.8
313797.0,85.9
313933.0,86
314073.0,86.1
314216.0,86.2
314366.0,86.3
314525.0,86.4
314684.0,86.5
314843.0,86.6
315006.0,86.7
315170.0,86.8
315339.0,86.9
315508.0,87
315679.0,87.1
315853.0,87.2
316032.0,87.3
316215.0,87.4
316399.0,87.5
316583.0,87.6
316772.0,87.7
316966.0,87.8
317163.0,87.9
317363.0,88
317566.0,88.1
317771.0,88.2
317980.0,88.3
318190.0,88.4
318400.0,88.5
318613.0,88.6
318828.0,88.7
319045.0,88.8
319262.0,88.9
319487.0,89
319713.0,89.1
319939.0,89.2
320167.0,89.3
320397.0,89.4
320632.0,89.5
320709.0,89.6
320474.0,89.7
320244.0,89.8
320016.0,89.9
319790.0,90
319564.0,90.1
319339.0,90.2
319122.0,90.3
318905.0,90.4
318690.0,90.5
318567.0,90.6
318354.0,90.7
318144.0,90.8
318099.0,90.9
317889.0,91
317680.0,91.1
317475.0,91.2
317272.0,91.3
317072.0,91.4
316875.0,91.5
316681.0,91.6
316492.0,91.7
316308.0,91.8
316124.0,91.9
315941.0,92
315762.0,92.1
315588.0,92.2
315417.0,92.3
315248.0,92.4
315079.0,92.5
314915.0,92.6
314752.0,92.7
314593.0,92.8
314434.0,92.9
314275.0,93
314125.0,93.1
313982.0,93.2
313842.0,93.3
313704.0,93.4
313568.0,93.5
313435.0,93.6
313306.0,93.7
313177.0,93.8
313071.0,93.9
312942.0,94
312814.0,94.1
312687.0,94.2
312560.0,94.3
312433.0,94.4
312306.0,94.5
312187.0,94.6
312072.0,94.7
311958.0,94.8
311846.0,94.9
311735.0,95
311626.0,95.1
311520.0,95.2
311420.0,95.3
311325.0,95.4
311230.0,95.5
311137.0,95.6
311048.0,95.7
310976.0,95.8
310902.0,95.9
